If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Combining Spring Boot and JDBI,"Kotlin in Production - What works, Whats broken",The technology behind preview photos,Standing on the Shoulders of Giants - Built to Adapt,On Orchestrated Microservices - Built to Adapt
The Definitive Guide to Database Version Control,Promises | Web Fundamentals - Google Developers,How to Design a Walkthrough That Users Will Read,Dark Scrum,The moment when you realize every server in the world is vulnerable - Free Code Camp,Microsoft's Open Source Love Affair Reaches New Heights
10 Modern Software Over-Engineering Mistakes,Berners-Lee quer criar outra Web,"Autofill: What web devs should know, but don't",Introduction to release engineering,Clean Coder Blog,Learning How to Learn: The Most Important Developer Skill - Free Code Camp
6 reasons why I like KeystoneML,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Algorithms and architecture for job recommendations,Google's Cloud Machine Learning service is now in public beta,The AI business landscape,Transfer Style But Not Color
Bancos brasileiros fecham 200 agências em 2015 - Home - iG,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Staying one step ahead at Pixar: An interview with Ed Catmull,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Ordering coffee in Italy: the 10 commandments,Up your app's sharing game with DirectShare - Google Developers
Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Conselho da SABMiller aceita proposta de compra da AB InBev,"Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Startups apostam em aplicativos que conectam fretes e caminhoneiros,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
Leveling Up Your JavaScript -,One weird trick that will change the way you code forever: JavaScript TDD,Google Cloud Goes to the Farm,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Evernote anuncia integração com Google Drive | Google Discovery,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery"
Making open source data more available,The barbell effect of machine learning.,Google researchers teach AIs to see the important parts of images - and tell you about them,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,The AI business landscape,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet"
"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Top Programming Languages Trends: The Rise of Big Data,Anti-If: The missing patterns,Introducing New Relic Infrastructure,Live asynchronously.
'We've realized a ten-year strategy goal in one year',Google is testing a new Material Design layout for desktop searches,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,The Netflix Tech Blog: Netflix Billing Migration to AWS,What to Inspect When You are Inspecting!,The sales secrets of high-growth companies
Google is testing a new Material Design layout for desktop searches,What to Inspect When You are Inspecting!,The Netflix Tech Blog: Netflix Billing Migration to AWS,Docker 1.12: Now with Built-in Orchestration!,Using behavioral data to improve customer satisfaction,Alecrim/AlecrimCoreData
You don't talk about refactoring club,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog","""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",The Business Case for Progressive Web Apps,Building Flipkart Lite: A Progressive Web App,Kotlin no Backend (Parte 2) :: Concrete Solutions
A importância dos filmes de mulherzinha - Capitolina,Empresa britânica adota licença remunerada no período menstrual,Criadas para casar,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",#iLookLikeAnEngineer: One Year Later,Promoting gender equality through emoji �� ��
'The Simpsons' celebrates 600 episodes with a VR couch gag,Inteligência artificial da IBM criou 'trailer perfeito' para filme,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,Laboratório da Disney cria robô que pula,Cubr
As expectativas das mulheres da Geração Y são muitas,#Sentaquelávemtextão,O dia em que tive mais medo de estar errada.,Para entender o Dia Internacional contra a Homofobia,Workplace diversity in Brazil: there's still a long way to go,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC"
Micro Profile JavaEE com Wildfly Swarm,The Java 8 API Design Principles,Combining Spring Boot and JDBI,Kotlin no Backend (Parte 2) :: Concrete Solutions,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
The Future of Digital Banking is Now,This Super Accurate Portrait Selection Tech Uses Neural Networks,Ordering coffee in Italy: the 10 commandments,Lists are the new search,Staying one step ahead at Pixar: An interview with Ed Catmull,Shopping app Spring's redesign could be a game-changer
360 million reasons to destroy all passwords - Free Code Camp,This Super Accurate Portrait Selection Tech Uses Neural Networks,Artificial intelligence is changing SEO faster than you think,Lists are the new search,Ordering coffee in Italy: the 10 commandments,Up your app's sharing game with DirectShare - Google Developers
"Build your own scalable, location analysis platform with Google Cloud Platform and Maps APIs","Amazon open-sources its own deep learning software, DSSTNE",PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Google lança YouTube Kids no Brasil | Google Discovery,Why image recognition is about to transform business,Diane Greene wants to put the enterprise front and center of Google Cloud strategy
Johnson & Johnson compra líder global em dermocosméticos | EXAME.com,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Johnson & Johnson comprará grupo suíço por US$ 30 bi,14 Cool Drupal 8 modules for site builders | August 2016,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,Who sponsors Drupal development? | Dries Buytaert
2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,The return of the machinery question,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",The AI business landscape,"Hello, TensorFlow!",Transfer Style But Not Color
Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,The economic essentials of digital strategy,Why the customer experience matters,An operating model for company-wide agile development,O tênue equilíbrio da equipe que desenha produtos digitais,Meet the new Brazilian consumer
Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,Up your app's sharing game with DirectShare - Google Developers,Ordering coffee in Italy: the 10 commandments,This Super Accurate Portrait Selection Tech Uses Neural Networks,Lists are the new search,The barbell effect of machine learning.
Confused by blockchains? Revolution vs Evolution,A digital crack in banking's business model,The End Of Apps As We Know Them - Inside Intercom,The rise of APIs,Accidental discovery could help batteries last years longer,"Amazon open-sources its own deep learning software, DSSTNE"
Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,Mastering Bash and Terminal,When to make a Git Commit,Most Interesting APIs in 2016: Cognitive Computing,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Java Microservices: The Cake is a Lie but You Can't Ignore It | Takipi Blog
Rewiring Citi for the digital age,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Embracing Agile,An operating model for company-wide agile development,A step-by-step guide to agile growth experiments,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live"
Bots won't replace apps. Better apps will replace apps.,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet","Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Making open source data more available,Lists are the new search
"Google, Amazon and the upcoming battle over AI Assistants",Blaise Agüera y Arcas: How computers are learning to be creative,Bad Writing Is Destroying Your Company's Productivity,Machine Learning and the VP Debate,The return of the machinery question,"Hello, TensorFlow!"
Decentralizing IoT networks through blockchain,Google's Cloud Machine Learning service is now in public beta,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,What to Inspect When You are Inspecting!,Alecrim/AlecrimCoreData,Transfer Style But Not Color
What's the Best Programming Language to Learn in 2017?,When to make a Git Commit,Mastering Bash and Terminal,Java 8 Streams : 10 missing features,Don't document your code. Code your documentation.,Introduction · Bitcoin para Programadores
Introducing New Relic Infrastructure,Top Programming Languages Trends: The Rise of Big Data,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Microservices testing,Torus,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
Building Flipkart Lite: A Progressive Web App,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Visa inaugura centro para inovação em pagamento digital | EXAME.com,The Business Case for Progressive Web Apps,Criando ícones animados no Android,gotwarlost/istanbul
Mobile marketing statistics 2016,A digital crack in banking's business model,"No Brasil, '25% dos celulares ainda são 'Burrofones'",The rise of APIs,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Governo brasileiro cria manual para contratação de cloud
Criadas para casar,A importância dos filmes de mulherzinha - Capitolina,Promoting gender equality through emoji �� ��,#iLookLikeAnEngineer: One Year Later,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Empresa britânica adota licença remunerada no período menstrual
Governo define cronograma para plano nacional de Internet das Coisas,Organizing for digital acceleration: Making a two-speed IT operating model work,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Can Accenture Take Over Advertising?,Latin America's chronic inefficiency could drive more O2O commerce growth
